Meter, Time, W, V, A, WH, Cost, WH/Mo, Cost/Mo, Wmax, Vmax, Amax, Wmin, Vmin, Amin, PF, DC, PC, HZ, VA
ttyUSB0, 2016-08-27 22:52:57.591476, 256.9, 122.2, 2.045, 9398.5, 0.751, 7362.4, 5.889, 257.0, 122.3, 2.047, 256.9, 122.2, 2.038, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:58.590151, 257.0, 122.2, 2.043, 9398.6, 0.751, 7362.5, 5.89, 257.0, 122.3, 2.045, 256.9, 122.1, 2.04, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:59.590138, 256.9, 122.1, 2.045, 9398.7, 0.751, 7362.5, 5.89, 257.0, 122.2, 2.045, 256.9, 122.1, 2.041, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:00.592372, 256.9, 122.2, 2.044, 9398.7, 0.751, 7362.5, 5.89, 256.9, 122.2, 2.048, 256.9, 122.1, 2.04, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:01.590400, 256.9, 122.2, 2.047, 9398.8, 0.751, 7362.6, 5.89, 256.9, 122.2, 2.047, 256.9, 122.1, 2.041, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:02.588625, 256.9, 122.3, 2.042, 9398.9, 0.751, 7362.6, 5.89, 256.9, 122.3, 2.047, 256.9, 122.1, 2.042, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:03.591608, 256.9, 122.1, 2.061, 9398.9, 0.751, 7362.6, 5.89, 256.9, 122.3, 2.061, 256.9, 122.1, 2.04, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:04.589546, 257.0, 122.1, 2.052, 9399.0, 0.751, 7362.7, 5.89, 257.0, 122.2, 2.061, 256.9, 122.0, 2.051, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:05.588019, 257.2, 122.2, 2.056, 9399.1, 0.751, 7362.7, 5.89, 257.2, 122.2, 2.056, 257.0, 122.1, 2.052, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:06.590528, 257.2, 122.2, 2.042, 9399.2, 0.751, 7362.7, 5.89, 257.2, 122.3, 2.056, 257.2, 122.1, 2.04, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:07.589192, 257.2, 122.2, 2.056, 9399.2, 0.751, 7362.8, 5.89, 257.2, 122.3, 2.056, 257.2, 122.1, 2.041, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:08.587143, 257.3, 122.1, 2.053, 9399.3, 0.751, 7362.8, 5.89, 257.3, 122.2, 2.058, 257.2, 122.1, 2.051, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:09.590056, 257.4, 122.1, 2.058, 9399.4, 0.751, 7362.8, 5.89, 257.4, 122.2, 2.062, 257.3, 122.1, 2.053, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:10.588488, 257.5, 122.2, 2.046, 9399.4, 0.751, 7362.9, 5.89, 257.5, 122.2, 2.058, 257.4, 122.1, 2.045, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:11.587637, 257.4, 122.1, 2.049, 9399.5, 0.751, 7362.9, 5.89, 257.5, 122.2, 2.049, 257.4, 122.1, 2.044, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:12.589829, 257.4, 122.1, 2.046, 9399.6, 0.751, 7362.9, 5.89, 257.4, 122.2, 2.05, 257.4, 122.1, 2.043, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:13.587944, 257.3, 122.2, 2.06, 9399.6, 0.751, 7363.0, 5.89, 257.4, 122.2, 2.06, 257.3, 122.1, 2.044, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:14.587431, 257.5, 122.2, 2.056, 9399.7, 0.751, 7363.0, 5.89, 257.5, 122.2, 2.062, 257.3, 122.1, 2.052, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:15.590569, 257.6, 122.1, 2.058, 9399.8, 0.751, 7363.0, 5.89, 257.6, 122.2, 2.062, 257.5, 122.1, 2.054, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:16.588640, 257.6, 122.1, 2.046, 9399.9, 0.751, 7363.1, 5.89, 257.6, 122.2, 2.059, 257.6, 122.0, 2.044, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:17.587560, 257.6, 122.1, 2.048, 9399.9, 0.752, 7363.1, 5.89, 257.6, 122.2, 2.049, 257.6, 122.0, 2.045, 100, 99, 0, 59.9, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:18.589654, 257.5, 122.3, 2.046, 9400.0, 0.752, 7363.1, 5.89, 257.6, 122.3, 2.05, 257.5, 122.1, 2.043, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:19.587379, 257.5, 122.5, 1.453, 9400.1, 0.752, 7363.2, 5.89, 257.5, 122.6, 2.046, 257.5, 122.2, 1.453, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:20.586790, 200.0, 122.6, 1.251, 9400.1, 0.752, 7363.2, 5.89, 257.5, 122.6, 1.453, 200.0, 122.5, 1.249, 98, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:21.589076, 160.1, 122.5, 0.952, 9400.2, 0.752, 7363.2, 5.89, 200.0, 122.6, 1.253, 160.1, 122.4, 0.901, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:22.586619, 121.6, 122.6, 0.988, 9400.2, 0.752, 7363.2, 5.89, 160.1, 122.7, 0.988, 121.6, 122.5, 0.877, 92, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:23.585472, 101.3, 122.6, 0.979, 9400.2, 0.752, 7363.2, 5.89, 121.6, 122.7, 1.005, 101.3, 122.5, 0.911, 85, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:24.587588, 101.4, 122.6, 0.976, 9400.2, 0.752, 7363.2, 5.89, 101.4, 122.7, 1.021, 101.3, 122.5, 0.909, 85, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:25.586658, 120.4, 122.0, 2.372, 9400.3, 0.752, 7363.2, 5.89, 120.4, 122.7, 2.372, 101.4, 122.0, 0.923, 94, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:26.585865, 294.1, 122.0, 2.37, 9400.4, 0.752, 7363.3, 5.89, 294.1, 122.1, 2.382, 120.4, 121.9, 2.369, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:27.589005, 294.3, 122.1, 2.373, 9400.5, 0.752, 7363.3, 5.89, 294.3, 122.1, 2.374, 294.1, 121.9, 2.37, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:28.586586, 294.6, 122.1, 2.37, 9400.6, 0.752, 7363.4, 5.89, 294.6, 122.2, 2.373, 294.3, 122.1, 2.366, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:29.584731, 294.8, 122.0, 2.38, 9400.6, 0.752, 7363.4, 5.89, 294.8, 122.2, 2.381, 294.6, 121.9, 2.369, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:30.584603, 295.1, 122.0, 2.399, 9400.7, 0.752, 7363.4, 5.89, 295.1, 122.1, 2.407, 294.8, 121.9, 2.379, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:31.586346, 295.6, 122.1, 2.389, 9400.8, 0.752, 7363.5, 5.89, 295.6, 122.1, 2.399, 295.1, 122.0, 2.389, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:32.584964, 295.9, 122.0, 2.399, 9400.9, 0.752, 7363.5, 5.89, 295.9, 122.1, 2.399, 295.6, 122.0, 2.386, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:33.583676, 296.4, 122.0, 2.4, 9401.0, 0.752, 7363.6, 5.89, 296.4, 122.1, 2.401, 295.9, 122.0, 2.396, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:34.585680, 296.7, 122.0, 2.399, 9401.1, 0.752, 7363.6, 5.89, 296.7, 122.1, 2.401, 296.4, 121.9, 2.398, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:35.584905, 297.1, 122.0, 2.411, 9401.1, 0.752, 7363.7, 5.89, 297.1, 122.1, 2.416, 296.7, 121.9, 2.393, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:36.583535, 297.5, 122.2, 2.395, 9401.2, 0.752, 7363.7, 5.89, 297.5, 122.2, 2.411, 297.1, 122.0, 2.391, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:37.586537, 297.7, 122.0, 2.402, 9401.3, 0.752, 7363.7, 5.891, 297.7, 122.2, 2.402, 297.5, 122.0, 2.393, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:38.583955, 297.9, 122.1, 2.407, 9401.4, 0.752, 7363.8, 5.891, 297.9, 122.1, 2.411, 297.7, 121.9, 2.402, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:39.582960, 298.2, 122.0, 2.406, 9401.5, 0.752, 7363.8, 5.891, 298.2, 122.1, 2.409, 297.9, 121.9, 2.405, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:53:40.585243, 298.5, 122.1, 2.395, 9401.6, 0.752, 7363.9, 5.891, 298.5, 122.1, 2.406, 298.2, 122.0, 2.394, 100, 99, 0, 60.1, ThisIsBroken, 
