Meter, Time, W, V, A, WH, Cost, WH/Mo, Cost/Mo, Wmax, Vmax, Amax, Wmin, Vmin, Amin, PF, DC, PC, HZ, VA
ttyUSB0, 2016-08-27 22:52:03.599695, 197.0, 122.2, 1.561, 9394.9, 0.751, 7360.8, 5.888, 197.0, 122.3, 1.564, 196.9, 122.0, 1.559, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:04.601317, 197.0, 122.2, 1.557, 9395.0, 0.751, 7360.9, 5.888, 197.0, 122.3, 1.561, 197.0, 122.2, 1.553, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:05.599570, 197.1, 122.2, 1.555, 9395.0, 0.751, 7360.9, 5.888, 197.1, 122.3, 1.561, 197.0, 122.1, 1.552, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:06.602558, 197.1, 122.2, 1.552, 9395.1, 0.751, 7360.9, 5.888, 197.1, 122.2, 1.557, 197.1, 122.0, 1.55, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:07.601353, 197.1, 122.1, 1.555, 9395.2, 0.751, 7360.9, 5.888, 197.1, 122.2, 1.556, 197.1, 122.0, 1.552, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:08.599002, 197.0, 122.1, 1.551, 9395.2, 0.751, 7360.9, 5.888, 197.1, 122.2, 1.555, 197.0, 122.0, 1.549, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:09.602731, 197.0, 122.1, 1.553, 9395.3, 0.751, 7361.0, 5.888, 197.0, 122.2, 1.556, 197.0, 122.0, 1.551, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:10.600620, 197.0, 122.2, 1.548, 9395.3, 0.751, 7361.0, 5.888, 197.0, 122.2, 1.553, 197.0, 122.1, 1.546, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:11.599689, 196.9, 122.2, 1.55, 9395.4, 0.751, 7361.0, 5.888, 197.0, 122.3, 1.552, 196.9, 122.1, 1.548, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:12.602489, 196.8, 122.3, 1.547, 9395.4, 0.751, 7361.0, 5.888, 196.9, 122.3, 1.551, 196.8, 122.2, 1.545, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:13.600749, 196.8, 122.4, 0.959, 9395.5, 0.751, 7361.0, 5.888, 196.8, 122.4, 1.556, 196.8, 122.1, 0.959, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:14.598279, 134.2, 122.4, 0.946, 9395.5, 0.751, 7361.0, 5.888, 196.8, 122.5, 1.018, 134.2, 122.3, 0.904, 90, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:15.601759, 102.2, 122.3, 0.948, 9395.5, 0.751, 7361.0, 5.888, 134.2, 122.5, 1.016, 102.2, 122.2, 0.875, 86, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:16.599437, 134.0, 122.0, 2.025, 9395.6, 0.751, 7361.1, 5.888, 134.0, 122.4, 2.025, 102.2, 121.9, 0.9, 99, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:17.598903, 254.8, 122.1, 2.031, 9395.7, 0.751, 7361.1, 5.888, 254.8, 122.2, 2.035, 134.0, 122.0, 2.025, 100, 99, 0, 59.9, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:18.603339, 254.8, 122.1, 2.03, 9395.7, 0.751, 7361.1, 5.888, 254.8, 122.2, 2.032, 254.8, 122.0, 2.027, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:19.599274, 254.8, 122.1, 2.034, 9395.8, 0.751, 7361.2, 5.888, 254.8, 122.1, 2.035, 254.8, 122.0, 2.03, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:20.598612, 254.9, 122.0, 2.031, 9395.9, 0.751, 7361.2, 5.888, 254.9, 122.2, 2.035, 254.8, 122.0, 2.03, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:21.602942, 254.9, 122.3, 2.034, 9395.9, 0.751, 7361.2, 5.889, 254.9, 122.3, 2.038, 254.9, 122.0, 2.03, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:22.598828, 255.1, 122.2, 2.032, 9396.0, 0.751, 7361.3, 5.889, 255.1, 122.3, 2.035, 254.9, 122.1, 2.03, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:23.598844, 255.1, 122.1, 2.048, 9396.1, 0.751, 7361.3, 5.889, 255.1, 122.3, 2.048, 255.1, 122.1, 2.032, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:24.600075, 255.3, 122.2, 2.041, 9396.2, 0.751, 7361.3, 5.889, 255.3, 122.3, 2.048, 255.1, 122.1, 2.04, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:25.598357, 255.6, 122.1, 2.047, 9396.2, 0.751, 7361.4, 5.889, 255.6, 122.2, 2.048, 255.3, 122.1, 2.041, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:26.597399, 255.7, 122.1, 2.033, 9396.3, 0.751, 7361.4, 5.889, 255.7, 122.2, 2.047, 255.6, 122.1, 2.033, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:27.600359, 255.7, 122.2, 2.049, 9396.4, 0.751, 7361.4, 5.889, 255.7, 122.3, 2.049, 255.7, 122.1, 2.033, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:28.598351, 255.9, 122.2, 2.043, 9396.4, 0.751, 7361.5, 5.889, 255.9, 122.3, 2.05, 255.7, 122.1, 2.042, 100, 99, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:29.596686, 256.1, 122.2, 2.048, 9396.5, 0.751, 7361.5, 5.889, 256.1, 122.3, 2.05, 255.9, 122.1, 2.043, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:30.600148, 256.2, 122.1, 2.037, 9396.6, 0.751, 7361.5, 5.889, 256.2, 122.2, 2.049, 256.1, 122.1, 2.037, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:31.598837, 256.2, 122.2, 2.04, 9396.6, 0.751, 7361.6, 5.889, 256.2, 122.2, 2.042, 256.2, 122.0, 2.036, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:32.596146, 256.2, 122.1, 2.05, 9396.7, 0.751, 7361.6, 5.889, 256.2, 122.2, 2.051, 256.2, 122.0, 2.037, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:33.599578, 256.3, 122.1, 2.051, 9396.8, 0.751, 7361.6, 5.889, 256.3, 122.2, 2.056, 256.2, 122.0, 2.049, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:34.598037, 256.5, 122.2, 2.046, 9396.9, 0.751, 7361.7, 5.889, 256.5, 122.2, 2.051, 256.3, 122.0, 2.046, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:35.595871, 256.6, 122.1, 2.043, 9396.9, 0.751, 7361.7, 5.889, 256.6, 122.2, 2.047, 256.5, 122.1, 2.04, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:36.599359, 256.5, 122.1, 2.039, 9397.0, 0.751, 7361.7, 5.889, 256.6, 122.2, 2.043, 256.5, 122.0, 2.037, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:37.597331, 256.5, 122.1, 2.042, 9397.1, 0.751, 7361.8, 5.889, 256.5, 122.2, 2.043, 256.5, 122.0, 2.037, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:38.595338, 256.5, 122.3, 2.036, 9397.2, 0.751, 7361.8, 5.889, 256.5, 122.3, 2.043, 256.5, 122.0, 2.035, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:39.595092, 256.4, 122.3, 2.041, 9397.2, 0.751, 7361.8, 5.889, 256.5, 122.3, 2.046, 256.4, 122.1, 2.035, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:40.596764, 256.4, 122.2, 2.036, 9397.3, 0.751, 7361.9, 5.889, 256.4, 122.3, 2.041, 256.4, 122.1, 2.036, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:41.595292, 256.4, 122.2, 2.043, 9397.4, 0.751, 7361.9, 5.889, 256.4, 122.3, 2.044, 256.4, 122.1, 2.035, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:42.595229, 256.4, 122.1, 2.039, 9397.4, 0.751, 7361.9, 5.889, 256.4, 122.2, 2.043, 256.4, 122.1, 2.038, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:43.596726, 256.4, 122.2, 2.056, 9397.5, 0.751, 7362.0, 5.889, 256.4, 122.2, 2.057, 256.4, 122.0, 2.038, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:44.595797, 256.5, 122.1, 2.048, 9397.6, 0.751, 7362.0, 5.889, 256.5, 122.2, 2.056, 256.4, 122.0, 2.048, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:45.593815, 256.7, 122.1, 2.051, 9397.7, 0.751, 7362.0, 5.889, 256.7, 122.2, 2.057, 256.5, 122.1, 2.048, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:46.596043, 256.8, 122.3, 2.036, 9397.7, 0.751, 7362.1, 5.889, 256.8, 122.3, 2.052, 256.7, 122.1, 2.036, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:47.594539, 256.7, 122.2, 2.042, 9397.8, 0.751, 7362.1, 5.889, 256.8, 122.4, 2.043, 256.7, 122.2, 2.035, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:48.592906, 256.7, 122.3, 2.038, 9397.9, 0.751, 7362.1, 5.889, 256.7, 122.3, 2.043, 256.7, 122.2, 2.037, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:49.596282, 256.6, 122.2, 2.043, 9397.9, 0.751, 7362.2, 5.889, 256.7, 122.3, 2.043, 256.6, 122.2, 2.037, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:50.593781, 256.6, 122.2, 2.039, 9398.0, 0.751, 7362.2, 5.889, 256.6, 122.3, 2.043, 256.6, 122.1, 2.039, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:51.593491, 256.6, 122.2, 2.045, 9398.1, 0.751, 7362.2, 5.889, 256.6, 122.3, 2.048, 256.6, 122.1, 2.037, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:52.591889, 256.6, 122.1, 2.042, 9398.2, 0.751, 7362.3, 5.889, 256.6, 122.2, 2.046, 256.6, 122.1, 2.04, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:53.594012, 256.6, 122.2, 2.058, 9398.2, 0.751, 7362.3, 5.889, 256.6, 122.2, 2.058, 256.6, 122.1, 2.041, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:54.592655, 256.8, 122.3, 2.049, 9398.3, 0.751, 7362.3, 5.889, 256.8, 122.3, 2.058, 256.6, 122.1, 2.048, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:55.591512, 256.9, 122.3, 2.053, 9398.4, 0.751, 7362.4, 5.889, 256.9, 122.4, 2.053, 256.8, 122.2, 2.047, 100, 99, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:52:56.593828, 257.0, 122.2, 2.039, 9398.4, 0.751, 7362.4, 5.889, 257.0, 122.3, 2.054, 256.9, 122.2, 2.038, 100, 99, 0, 60.1, ThisIsBroken, 
