Meter, Time, W, V, A, WH, Cost, WH/Mo, Cost/Mo, Wmax, Vmax, Amax, Wmin, Vmin, Amin, PF, DC, PC, HZ, VA
ttyUSB0, 2016-08-27 22:58:27.553100, 300.5, 121.9, 2.403, 22.6, 0.001, 21444.4, 17.155, 300.5, 122.1, 2.415, 300.3, 121.8, 2.399, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:28.551031, 300.4, 122.0, 2.406, 22.6, 0.001, 21445.0, 17.156, 300.5, 122.0, 2.408, 300.4, 121.8, 2.403, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:29.550817, 300.3, 122.0, 2.403, 22.7, 0.001, 21453.2, 17.162, 300.4, 122.0, 2.408, 300.3, 121.8, 2.399, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:30.552582, 300.3, 122.1, 2.403, 22.8, 0.001, 21446.0, 17.156, 300.3, 122.2, 2.405, 300.3, 121.9, 2.403, 100, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:31.550150, 300.2, 122.1, 2.402, 22.9, 0.001, 21446.5, 17.157, 300.3, 122.2, 2.403, 300.2, 122.0, 2.397, 100, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:32.549590, 300.2, 122.1, 2.404, 23.0, 0.001, 21454.8, 17.163, 300.2, 122.1, 2.405, 300.2, 122.0, 2.401, 100, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:33.551825, 247.1, 122.4, 1.276, 23.0, 0.001, 21414.9, 17.131, 300.2, 122.5, 2.404, 247.1, 122.1, 1.276, 96, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:34.549707, 164.4, 122.5, 0.918, 23.1, 0.001, 21377.1, 17.101, 247.1, 122.6, 1.276, 164.4, 122.4, 0.908, 100, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:35.552672, 123.0, 122.6, 0.954, 23.1, 0.001, 21327.4, 17.061, 164.4, 122.6, 1.025, 123.0, 122.5, 0.867, 92, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:36.550679, 103.2, 122.6, 0.923, 23.1, 0.001, 21277.7, 17.022, 123.0, 122.6, 0.994, 103.2, 122.4, 0.897, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:37.549846, 103.0, 122.6, 0.894, 23.1, 0.001, 21228.4, 16.982, 103.2, 122.7, 1.002, 103.0, 122.5, 0.894, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:38.552452, 102.8, 122.6, 0.964, 23.2, 0.001, 21179.7, 16.943, 103.0, 122.7, 1.004, 102.8, 122.5, 0.887, 87, 100, 0, 59.9, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:39.550665, 102.7, 122.7, 0.964, 23.2, 0.001, 21131.1, 16.904, 102.8, 122.8, 1.003, 102.7, 122.5, 0.89, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:40.549701, 102.5, 122.6, 0.988, 23.2, 0.001, 21082.9, 16.866, 102.7, 122.8, 1.005, 102.5, 122.5, 0.915, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:41.552104, 102.3, 122.5, 0.992, 23.3, 0.001, 21035.0, 16.828, 102.5, 122.8, 1.009, 102.3, 122.5, 0.899, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:42.550568, 102.2, 122.6, 0.955, 23.3, 0.001, 20987.4, 16.789, 102.3, 122.7, 1.009, 102.2, 122.5, 0.893, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:43.553652, 102.1, 122.5, 0.968, 23.3, 0.001, 20940.0, 16.752, 102.2, 122.7, 1.001, 102.1, 122.4, 0.903, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:44.551850, 102.2, 122.6, 0.926, 23.3, 0.001, 20893.4, 16.714, 102.2, 122.6, 1.017, 102.1, 122.4, 0.889, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:45.549740, 102.4, 122.7, 0.91, 23.4, 0.001, 20847.0, 16.677, 102.4, 122.7, 1.011, 102.2, 122.5, 0.91, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:46.552948, 102.4, 122.4, 0.965, 23.4, 0.001, 20801.1, 16.64, 102.4, 122.8, 1.007, 102.4, 122.4, 0.902, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:47.551210, 102.4, 122.5, 0.977, 23.4, 0.001, 20755.3, 16.604, 102.4, 122.8, 1.03, 102.4, 122.4, 0.897, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:48.550088, 102.3, 122.6, 0.973, 23.4, 0.001, 20716.7, 16.573, 102.4, 122.7, 1.013, 102.3, 122.2, 0.895, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:49.553136, 102.1, 122.4, 0.981, 23.5, 0.001, 20664.3, 16.531, 102.3, 122.8, 0.985, 102.1, 122.4, 0.897, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:50.550772, 102.0, 122.5, 0.99, 23.5, 0.001, 20619.3, 16.495, 102.1, 122.6, 1.017, 102.0, 122.3, 0.908, 86, 100, 0, 60.0, ThisIsBroken, 
