Meter, Time, W, V, A, WH, Cost, WH/Mo, Cost/Mo, Wmax, Vmax, Amax, Wmin, Vmin, Amin, PF, DC, PC, HZ, VA
ttyUSB0, 2016-08-27 22:58:51.549359, 101.9, 122.4, 0.956, 23.5, 0.001, 20574.3, 16.459, 102.0, 122.6, 0.99, 101.9, 122.3, 0.888, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:52.552178, 101.9, 122.5, 0.969, 23.6, 0.001, 20529.8, 16.423, 101.9, 122.5, 1.011, 101.9, 122.2, 0.902, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:53.550655, 101.9, 122.4, 0.919, 23.6, 0.001, 20485.6, 16.388, 101.9, 122.5, 1.006, 101.9, 122.2, 0.888, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:54.549380, 101.9, 122.5, 0.933, 23.6, 0.001, 20448.6, 16.358, 101.9, 122.5, 1.027, 101.9, 122.3, 0.906, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:55.551944, 102.0, 122.4, 0.953, 23.7, 0.001, 20398.5, 16.318, 102.0, 122.6, 1.013, 101.9, 122.2, 0.898, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:56.550482, 102.1, 122.3, 0.961, 23.7, 0.001, 20355.6, 16.284, 102.1, 122.6, 1.046, 102.0, 122.3, 0.897, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:57.549555, 102.1, 122.4, 0.99, 23.7, 0.001, 20312.7, 16.25, 102.1, 122.6, 1.009, 102.1, 122.3, 0.912, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:58.551994, 101.9, 122.4, 1.005, 23.7, 0.001, 20270.0, 16.216, 102.1, 122.5, 1.005, 101.9, 122.3, 0.895, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:58:59.549626, 102.0, 122.4, 0.975, 23.8, 0.001, 20227.8, 16.182, 102.0, 122.5, 1.022, 101.9, 122.3, 0.9, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:00.549174, 102.1, 122.4, 0.957, 23.8, 0.001, 20185.9, 16.148, 102.1, 122.6, 1.023, 102.0, 122.3, 0.921, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:01.551283, 102.2, 122.6, 0.91, 23.8, 0.001, 20143.8, 16.115, 102.2, 122.6, 0.989, 102.1, 122.4, 0.89, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:02.549368, 102.1, 122.6, 0.924, 23.9, 0.001, 20102.2, 16.081, 102.2, 122.6, 1.029, 102.1, 122.3, 0.898, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:03.549296, 102.0, 122.4, 0.889, 23.9, 0.001, 20067.3, 16.053, 102.1, 122.6, 1.007, 102.0, 122.3, 0.887, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:04.551261, 102.0, 122.4, 0.977, 23.9, 0.001, 20019.9, 16.015, 102.0, 122.6, 1.016, 102.0, 122.4, 0.889, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:05.549495, 102.0, 122.5, 0.972, 23.9, 0.001, 19979.5, 15.983, 102.0, 122.6, 1.012, 102.0, 122.3, 0.858, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:06.548252, 102.0, 122.4, 0.978, 24.0, 0.001, 19939.2, 15.951, 102.0, 122.6, 1.015, 102.0, 122.4, 0.901, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:07.551445, 102.0, 122.5, 1.002, 24.0, 0.001, 19898.9, 15.919, 102.0, 122.6, 1.005, 102.0, 122.4, 0.905, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:08.548916, 101.9, 122.4, 0.968, 24.0, 0.001, 19858.8, 15.887, 102.0, 122.5, 1.03, 101.9, 122.2, 0.891, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:09.549156, 101.9, 122.3, 0.963, 24.0, 0.001, 19818.9, 15.855, 101.9, 122.5, 0.992, 101.9, 122.2, 0.904, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:10.549632, 101.8, 122.5, 0.964, 24.1, 0.001, 19779.3, 15.823, 101.9, 122.6, 0.988, 101.8, 122.3, 0.897, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:11.548135, 101.8, 122.7, 0.968, 24.1, 0.001, 19740.0, 15.792, 101.8, 122.7, 1.026, 101.8, 122.5, 0.918, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:12.548246, 101.7, 122.5, 0.911, 24.1, 0.001, 19700.8, 15.76, 101.8, 122.7, 1.007, 101.7, 122.3, 0.893, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:13.550016, 101.8, 122.5, 0.919, 24.2, 0.001, 19661.8, 15.729, 101.8, 122.6, 1.002, 101.7, 122.4, 0.89, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:14.547909, 101.8, 122.5, 0.936, 24.2, 0.001, 19623.5, 15.698, 101.8, 122.7, 1.002, 101.8, 122.4, 0.886, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:15.546924, 101.8, 122.3, 0.95, 24.2, 0.001, 19585.5, 15.668, 101.8, 122.5, 1.014, 101.8, 122.3, 0.898, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:16.549978, 101.8, 122.5, 1.005, 24.3, 0.001, 19547.7, 15.638, 101.8, 122.6, 1.02, 101.8, 122.3, 0.898, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:17.547869, 101.9, 122.5, 0.982, 24.3, 0.001, 19509.9, 15.607, 101.9, 122.7, 1.021, 101.8, 122.4, 0.898, 84, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:18.551369, 101.8, 122.5, 1.009, 24.3, 0.001, 19472.2, 15.577, 101.9, 122.6, 1.01, 101.8, 122.3, 0.909, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:19.549653, 101.7, 122.5, 0.986, 24.3, 0.001, 19434.9, 15.547, 101.8, 122.5, 1.01, 101.7, 122.3, 0.909, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:20.547862, 101.7, 122.5, 0.988, 24.4, 0.001, 19397.7, 15.518, 101.7, 122.7, 1.008, 101.7, 122.4, 0.905, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:21.550772, 101.7, 122.6, 0.958, 24.4, 0.001, 19360.7, 15.488, 101.7, 122.7, 0.99, 101.7, 122.4, 0.892, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:22.548887, 101.6, 122.6, 0.96, 24.4, 0.001, 19323.9, 15.459, 101.7, 122.6, 1.004, 101.6, 122.3, 0.903, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:23.546786, 101.8, 122.5, 0.921, 24.4, 0.001, 19287.4, 15.429, 101.8, 122.6, 0.997, 101.6, 122.3, 0.878, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:24.550921, 101.8, 122.4, 0.905, 24.5, 0.001, 19251.4, 15.401, 101.8, 122.6, 1.011, 101.8, 122.3, 0.905, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:25.548515, 102.0, 122.5, 0.961, 24.5, 0.001, 19215.6, 15.372, 102.0, 122.6, 1.006, 101.8, 122.3, 0.905, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:26.547018, 102.0, 122.5, 1.002, 24.5, 0.001, 19186.0, 15.348, 102.0, 122.6, 1.013, 102.0, 122.3, 0.905, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:27.550890, 101.9, 122.4, 1.191, 24.6, 0.001, 19145.2, 15.316, 102.0, 122.7, 1.191, 101.9, 122.4, 0.916, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:28.548563, 128.0, 122.3, 1.208, 24.6, 0.001, 19121.0, 15.296, 128.0, 122.5, 1.22, 101.9, 122.3, 1.191, 95, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:29.547634, 145.6, 122.4, 0.954, 24.6, 0.001, 19089.0, 15.271, 145.6, 122.6, 1.209, 128.0, 122.3, 0.856, 100, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:30.549841, 101.1, 122.5, 0.92, 24.7, 0.001, 19053.8, 15.243, 145.6, 122.5, 0.993, 101.1, 122.3, 0.894, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:31.547826, 101.1, 122.5, 0.917, 24.7, 0.001, 19018.9, 15.215, 101.1, 122.6, 1.0, 101.1, 122.3, 0.901, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:32.547272, 101.2, 122.5, 0.897, 24.7, 0.001, 18984.3, 15.187, 101.2, 122.6, 1.033, 101.1, 122.3, 0.894, 84, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:33.549714, 101.2, 122.5, 0.959, 24.7, 0.001, 18949.9, 15.159, 101.2, 122.6, 1.008, 101.2, 122.3, 0.897, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:34.546749, 101.2, 122.5, 0.983, 24.8, 0.001, 18915.9, 15.132, 101.2, 122.6, 0.997, 101.2, 122.4, 0.891, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:35.550877, 101.3, 122.4, 0.989, 24.8, 0.001, 18882.1, 15.105, 101.3, 122.6, 1.01, 101.2, 122.3, 0.884, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:36.549333, 101.4, 122.5, 1.006, 24.8, 0.001, 18848.5, 15.078, 101.4, 122.6, 1.006, 101.3, 122.3, 0.898, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:37.547801, 101.5, 122.5, 0.987, 24.9, 0.001, 18820.4, 15.056, 101.5, 122.6, 1.015, 101.4, 122.4, 0.907, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:38.550525, 101.5, 122.7, 0.978, 24.9, 0.001, 18781.5, 15.025, 101.5, 122.7, 0.998, 101.5, 122.4, 0.891, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:39.548826, 101.6, 122.6, 0.926, 24.9, 0.001, 18748.3, 14.998, 101.6, 122.7, 1.012, 101.5, 122.4, 0.901, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:40.547143, 101.7, 122.4, 0.928, 25.0, 0.002, 18715.4, 14.972, 101.7, 122.6, 1.015, 101.6, 122.3, 0.895, 86, 100, 0, 59.9, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:41.550187, 101.9, 122.5, 0.89, 25.0, 0.002, 18682.7, 14.946, 101.9, 122.6, 1.008, 101.7, 122.3, 0.89, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:42.548277, 101.8, 122.5, 0.973, 25.0, 0.002, 18650.1, 14.92, 101.9, 122.6, 1.012, 101.8, 122.4, 0.89, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:43.547567, 101.8, 122.4, 0.979, 25.0, 0.002, 18623.3, 14.898, 101.8, 122.6, 1.014, 101.8, 122.4, 0.898, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:44.549935, 101.8, 122.5, 0.997, 25.1, 0.002, 18586.0, 14.868, 101.8, 122.6, 1.016, 101.8, 122.4, 0.897, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:45.548098, 101.9, 122.6, 0.975, 25.1, 0.002, 18554.1, 14.843, 101.9, 122.6, 1.021, 101.8, 122.4, 0.906, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:46.546776, 102.0, 122.5, 0.969, 25.1, 0.002, 18522.2, 14.817, 102.0, 122.6, 1.0, 101.9, 122.3, 0.891, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:47.549479, 102.1, 122.5, 0.945, 25.1, 0.002, 18490.5, 14.792, 102.1, 122.6, 1.019, 102.0, 122.3, 0.906, 85, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:48.547389, 102.0, 122.6, 0.92, 25.2, 0.002, 18458.8, 14.767, 102.1, 122.7, 0.986, 102.0, 122.4, 0.888, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:49.546958, 102.0, 122.5, 0.889, 25.2, 0.002, 18432.5, 14.746, 102.0, 122.6, 0.998, 102.0, 122.4, 0.889, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:50.549298, 101.9, 122.4, 0.964, 25.2, 0.002, 18396.2, 14.717, 102.0, 122.6, 1.006, 101.9, 122.4, 0.889, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:51.546699, 101.8, 122.5, 0.958, 25.3, 0.002, 18365.2, 14.692, 101.9, 122.6, 1.0, 101.8, 122.3, 0.888, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:52.546880, 101.7, 122.5, 1.003, 25.3, 0.002, 18334.3, 14.667, 101.8, 122.6, 1.007, 101.7, 122.4, 0.91, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:53.548565, 101.6, 122.6, 0.986, 25.3, 0.002, 18303.7, 14.643, 101.7, 122.7, 1.031, 101.6, 122.4, 0.907, 84, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:54.546630, 101.6, 122.6, 0.994, 25.3, 0.002, 18273.3, 14.618, 101.6, 122.7, 0.994, 101.6, 122.4, 0.901, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:55.545894, 101.7, 122.6, 0.973, 25.4, 0.002, 18243.1, 14.594, 101.7, 122.7, 1.013, 101.6, 122.4, 0.906, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:56.548255, 101.8, 122.4, 0.961, 25.4, 0.002, 18212.9, 14.57, 101.8, 122.6, 0.979, 101.7, 122.3, 0.845, 86, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:57.546996, 101.7, 122.6, 0.969, 25.4, 0.002, 18182.8, 14.546, 101.8, 122.6, 1.002, 101.7, 122.3, 0.902, 88, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:58.545507, 101.6, 122.5, 0.915, 25.5, 0.002, 18152.8, 14.522, 101.7, 122.7, 1.004, 101.6, 122.5, 0.891, 86, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 22:59:59.547723, 101.7, 122.5, 0.897, 25.5, 0.002, 18123.0, 14.498, 101.7, 122.6, 0.999, 101.6, 122.3, 0.895, 87, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:00.546217, 101.6, 122.4, 0.928, 25.5, 0.002, 18093.4, 14.474, 101.7, 122.6, 0.991, 101.6, 122.3, 0.889, 86, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:01.544878, 101.6, 122.3, 0.945, 25.5, 0.002, 18064.1, 14.451, 101.6, 122.6, 1.008, 101.6, 122.3, 0.897, 86, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:02.547602, 101.6, 122.4, 0.959, 25.6, 0.002, 18035.0, 14.428, 101.6, 122.5, 0.998, 101.6, 122.2, 0.89, 86, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:03.545748, 101.5, 122.4, 0.936, 25.6, 0.002, 18005.9, 14.404, 101.6, 122.5, 1.008, 101.5, 122.2, 0.89, 87, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:04.544676, 101.5, 122.4, 0.974, 25.6, 0.002, 17982.1, 14.385, 101.5, 122.6, 1.01, 101.5, 122.3, 0.879, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:05.547448, 101.6, 122.5, 1.006, 25.7, 0.002, 17948.8, 14.359, 101.6, 122.6, 1.008, 101.5, 122.3, 0.896, 86, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:06.545622, 101.6, 122.5, 0.969, 25.7, 0.002, 17920.2, 14.336, 101.6, 122.7, 1.011, 101.6, 122.4, 0.901, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:07.544125, 101.6, 122.4, 0.961, 25.7, 0.002, 17896.4, 14.317, 101.6, 122.6, 0.984, 101.6, 122.2, 0.893, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:08.546777, 101.6, 122.5, 0.952, 25.7, 0.002, 17863.3, 14.29, 101.6, 122.6, 1.022, 101.6, 122.3, 0.908, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:09.544912, 101.6, 122.5, 0.914, 25.8, 0.002, 17835.0, 14.268, 101.6, 122.6, 0.987, 101.6, 122.4, 0.886, 86, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:10.543345, 101.6, 122.6, 0.916, 25.8, 0.002, 17806.9, 14.245, 101.6, 122.7, 1.001, 101.6, 122.4, 0.901, 87, 100, 0, 60.0, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:11.546465, 101.6, 122.6, 0.895, 25.8, 0.002, 17779.1, 14.223, 101.6, 122.7, 0.996, 101.6, 122.4, 0.889, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:12.544806, 101.5, 122.4, 0.958, 25.8, 0.002, 17751.4, 14.201, 101.6, 122.6, 1.002, 101.5, 122.3, 0.895, 87, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:13.543043, 101.4, 122.5, 0.956, 25.9, 0.002, 17728.5, 14.182, 101.5, 122.7, 1.002, 101.4, 122.4, 0.89, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:14.546528, 101.4, 122.6, 1.003, 25.9, 0.002, 17696.6, 14.157, 101.4, 122.7, 1.008, 101.4, 122.4, 0.896, 87, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:15.544379, 101.4, 122.4, 0.986, 25.9, 0.002, 17669.4, 14.135, 101.4, 122.7, 1.003, 101.4, 122.3, 0.898, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:16.542870, 101.4, 122.6, 1.0, 26.0, 0.002, 17642.4, 14.113, 101.4, 122.6, 1.012, 101.4, 122.4, 0.914, 86, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:17.542467, 101.5, 122.4, 0.96, 26.0, 0.002, 17615.5, 14.092, 101.5, 122.6, 1.014, 101.4, 122.3, 0.891, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:18.544147, 101.5, 122.6, 0.972, 26.0, 0.002, 17588.5, 14.07, 101.5, 122.6, 1.009, 101.5, 122.4, 0.907, 87, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:19.541956, 101.6, 122.5, 0.929, 26.1, 0.002, 17561.9, 14.049, 101.6, 122.6, 1.01, 101.5, 122.3, 0.896, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:20.541449, 101.8, 122.3, 0.922, 26.1, 0.002, 17540.1, 14.032, 101.8, 122.6, 1.013, 101.6, 122.2, 0.866, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:21.544459, 101.9, 122.4, 0.951, 26.1, 0.002, 17509.3, 14.007, 101.9, 122.5, 1.019, 101.8, 122.2, 0.905, 87, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:22.541766, 101.7, 122.3, 0.957, 26.1, 0.002, 17483.0, 13.986, 101.9, 122.6, 0.992, 101.7, 122.3, 0.891, 85, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:23.541591, 101.7, 122.4, 1.005, 26.2, 0.002, 17461.4, 13.969, 101.7, 122.6, 1.036, 101.7, 122.3, 0.902, 87, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:24.543213, 101.6, 122.4, 0.999, 26.2, 0.002, 17430.9, 13.944, 101.7, 122.6, 1.01, 101.6, 122.3, 0.911, 84, 100, 0, 60.1, ThisIsBroken, 
ttyUSB0, 2016-08-27 23:00:25.541589, 101.6, 122.2, 0.989, 26.2, 0.002, 17405.1, 13.924, 101.6, 122.6, 1.013, 101.6, 122.2, 0.906, 84, 100, 0, 60.1, ThisIsBroken, 
